Product Name,Price
Homepride Tomato & Herb Pasta Bake Sauce 485g,£2.50
Homepride Tomato & Bacon Pasta Bake Sauce 485g,£2.50
Homepride No Added Sugar Tomato & Herb Pasta Bake Sauce 485g,£2.50
Sainsbury's Tomato & Herb Bolognese Pasta Sauce 500g,69p
Heinz Sundried Cherry Tomato & Basil Pasta Sauce 350g,£2.00
Sainsbury's Creamy Tomato Pasta Bake Sauce 480g,69p
Dolmio Bolognese Original Pasta Sauce 450g,£2.50
"Sainsbury's Pasta Sauce, Onion & Garlic 500g",69p
"Loyd Grossman Pasta Sauce, Roasted Garlic & Tomato 350g",£3.00
Sainsbury's No Added Sugar Tomato & Hidden Veg Pasta Sauce 500g,69p
"Loyd Grossman Pasta Sauce, Tomato & Basil 350g",£3.00
Dolmio Lasagne Creamy White Pasta Sauce 440g,£2.50
"Loyd Grossman Pasta Sauce, Tomato & Chilli 350g",£3.00
Sainsbury's Macaroni Cheese Pasta Bake Sauce 485g,69p
Loyd Grossman Bolognese Original Pasta Sauce 350g,£3.00
"Sainsbury's Pasta Sauce, Tomato & Chilli 500g",69p
Dolmio Bolognese Smooth Tomato Pasta Sauce 450g,£2.50
Dolmio Lasagne Red Tomato Pasta Sauce 450g,£2.50
Heinz Tomato Grana Padano & Mascarpone Pasta Sauce 350g,£2.00
Dolmio Bolognese Meatball Tomato and Basil Pasta Sauce 450g,£2.50
Sainsbury's Stir In Tomato & Basil Pasta Sauce 150g,85p
Sainsbury's Lighter Tomato & Herb Bolognese Pasta Sauce 500g,69p
Sainsbury's Stir In Chargrilled Vegetable Pasta Sauce 150g,85p
Dolmio Pasta Bake Sauce Creamy Tomato 450g,£2.50
Heinz Tomato Black Garlic & Roasted Garlic Pasta Sauce 350g,£2.00
Sainsbury's Pasta Sauce Carbonara 430g,85p
"Sainsbury's Pasta Sauce, Sweet Pepper 500g",69p
Stamford Street Co. Pasta Sauce 440g,49p
Sainsbury's Stir In Tomato & Roasted Garlic Pasta Sauce 150g,85p
"Sainsbury's Pasta Sauce, Chunky Vegetable 500g",69p
Dolmio Stir in Tomato & Basil Pasta Sauce 150g,£2.20
Sainsbury's Sweet Pepper Stir-In Pasta Sauce 150g,85p
Heinz Tomato Pasta Sauce for Bolognese 350g,£2.00
Dolmio Stir In Carbonara Pasta Sauce 150g,£2.20
Dolmio Bolognese Onion and Garlic Pasta Sauce 450g,£2.50
Loyd Grossman No Added Sugar Tomato & Basil Pasta Sauce 350g,£3.00
Dolmio Bolognese Original Pasta Sauce 675g,£3.00
"Loyd Grossman Pasta Sauce, Puttanesca 350g",£3.00
"Loyd Grossman Pasta Sauce, Tomato & Red Wine 350g",£3.00
"Sainsbury's Pasta Sauce, Tomato Mushroom & Basil 500g",69p
Dolmio Stir in Sun Dried Tomato Pasta Sauce 150g,£2.20
Loyd Grossman Bolognese Pasta Sauce 660g,£3.75
"Loyd Grossman Pasta Sauce, Chargrilled Vegetable 350g",£3.00
Dolmio Lasagne Creamy White Pasta Sauce 655g,£3.00
Heinz Tomato & Chilli Pasta Sauce 350g,£2.00
Loyd Grossman No Added Sugar Tomato & Chilli Pasta Sauce 350g,£3.00
"Sainsbury's Tomato & Mascarpone Pasta Sauce, Taste the Difference 350g",£2.10
Mutti Pasta Sauce with Basil 400g,£3.00
Dolmio Pasta Bake Sauce Carbonara 430g,£2.50
"Loyd Grossman Pasta Sauce, Tomato & Sweet Red Pepper 350g",£3.00
Loyd Grossman Tomato & Basil Pasta Sauce 660g,£3.75
Heinz Tomato Mascarpone & Grana Padano Pasta Sauce 490g,£2.50
Loyd Grossman No Added Sugar Bolognese Pasta Sauce 350g,£3.00
Dolmio Bolognese Low Fat Pasta Sauce 450g,£2.50
Dolmio Stir in Roasted Garlic & Tomato Pasta Sauce 150g,£2.20
Dolmio Lasagne Red Tomato Pasta Sauce 675g,£3.00
Heinz Sundried Cherry Tomato & Basil Pasta Sauce 490g,£2.50
Homepride Tuna Pasta Bake Sauce 485g,£2.50
Dolmio Lasagne Light Creamy White Pasta Sauce 440g,£2.50
Dolmio Bolognese Smooth Tomato Pasta Sauce 675g,£3.00
Vadasz Hot & Chunky Kimchi 400g,£4.50
Alpro Barista Oat Milk Long Life Dairy Alternative 1L,£2.10
Borough Broth Chicken Free Range Organic Bone Broth 324g,£5.00
Alpro Oat Milk Long Life Dairy Alternative 1L,£2.10
Loyd Grossman Tomato & Chilli Pasta Sauce 660g,£3.75
Dolmio Bolognese Smooth Hidden Vegetable Pasta Sauce 450g,£2.50
Dolmio Stir In Pasta Sauce Bacon & Tomato 150g,£2.20
Dolmio Stir in Sweet Pepper Pasta Sauce 150g,£2.20
Dolmio Bolognese Chunky Mushroom Pasta Sauce 450g,£2.50
Heinz Tomato Pasta Sauce for Bolognese 490g,£2.50
Homepride Cheese & Bacon Pasta Bake Sauce 485g,£2.50
Mutti Pasta Sauce with Parmigiano Reggiano 400g,£3.00
Dolmio Bolognese Spicy Chilli Pasta Sauce 450g,£2.50
Dolmio Bolognese Onion and Garlic Pasta Sauce 675g,£3.00
Mutti Pasta Sauce with Calabrian Chilli Pepper 400g,£3.00
Loyd Grossman No Added Sugar Tomato & Basil Pasta Sauce 660g,£3.75
Mutti Pasta Sauce with Grilled Vegetables 400g,£3.00
Homepride No Added Sugar Pasta Bake Sauce Tomato & Cheddar Cheese 485g,£2.50
Loyd Grossman Bolognese Pasta Sauce with Smoked Garlic 660g,£3.75
"Sainsbury's Puttanesca Pasta Sauce, Taste the Difference 340g",£2.10
"Sainsbury's Calabrian Chilli & Fennel Pasta Sauce, Taste the Difference 340g",£2.10
Dolmio Intensify Mild Creamy Garlic & Black Pepper Pasta Sauce 390g,£2.50
Loyd Grossman No Added Sugar Bolognese Pasta Sauce 660g ,£3.75
Dolmio Intensify Smokey Garlic & Sundried Tomato Pasta Sauce 400g,£2.50
Dolmio Intensify Fiery Sun Ripened Tomato & Chilli Pasta Sauce 400g,£2.50
Dolmio Intensify Sriracha Style Chunky Vegetables Pasta Sauce 400g,£2.50
Sainsbury's Tomato & Basil Pizza Sauce Topper 190g,£2.00
"Sainsbury's Tomato Sauce with Basil, SO Organic 350g",£2.50
Sacla Stir In Olive & Tomato Sauce 190g,£3.35
Sacla Sun Dried Tomato Pesto 190g,£3.35
La Famiglia Rana Genovese Basil P.D.O. Pesto 140g,£2.25
Sacla Vegan Tomato Pesto 190g,£3.10
Loyd Grossman Tomato & Mascarpone 350g,£3.00
Sacla Intenso Stir in Tomato & Mascarpone,£3.35
Sacla Intenso Stir in Tomato & Garlic,£3.35
"Sainsbury's Fried Aubergine & Salted Ricotta Pasta Sauce, Taste the Difference 340g",£2.10
Sainsbury's Tomato & Mascarpone Sauce 350g (Serves 2),£1.90
Sainsbury's Tomato & Basil Sauce 350g (Serves 2),£1.90
Sainsbury's Cheese Sauce 350g (Serves 2),£1.90
Sainsbury's Arrabiata Sauce 350g (Serves 2),£1.90
"Sainsbury's Peppercorn Sauce, Taste the Difference 200g",£2.00
"Sainsbury's Carbonara Sauce, Taste the Difference 350g (Serves 2)",£3.00
"Sainsbury's Pomodoro Sauce, Taste the Difference 350g (Serves 2)",£3.00
"Sainsbury's Hollandaise Sauce, Taste the Difference 200g",£2.00
"Sainsbury's Diane Sauce, Taste the Difference 200g",£2.00
"Sainsbury's Bolognese Sauce, Taste the Difference 350g",£3.00
La Famiglia Rana Sundried Tomato & Pecorino Cheese Fresh Sauce 200g,£2.75
La Famiglia Rana Mushroom & Roasted Garlic Fresh Sauce 200g,£2.75
"Sainsbury's Four Cheese Sauce, Taste the Difference 350g (Serves 2)",£3.00
"Sainsbury's Aubergine Parmigiana Sauce, Taste the Difference 350g",£3.00
Sainsbury's Red Wine & Shallot Sauce 200g,£2.00
La Famiglia Rana Sicilian Style Vegetables Fresh Sauce 200g,£2.75
"Sainsbury's Bearnaise Sauce, Taste the Difference 200g",£2.00
"Sainsbury's Mushroom & Madeira Sauce, Taste the Difference 350g",£3.00
"Sainsbury's Tartare Sauce, Taste the Difference 170g",£1.75
La Famiglia Rana Spinach & Ricotta Fresh Tortelloni 250g,£3.00
"Sainsbury's Basil Pesto, Taste the Difference 150g",£3.00
"Sainsbury's Italian Style Sausage Ragu, Limited Edition, Taste the Difference 350g",£3.00
Belazu Basil Pesto 135g,£3.00
"Sainsbury's Chicken Stock, Taste the Difference 450g",£3.00
"Sainsbury's Beef Stock, Taste the Difference 450g",£3.00
"Sainsbury's Onion Gravy, Taste the Difference 450g",£3.00
"Batchelors Pasta 'n' Sauce, Cheese & Broccoli 99g",£1.00
Müller Rice Strawberry Low Fat Pudding Dessert 170g,90p
Muller Light Fat Free Yogurts With Chocolate Sprinkles 6x140g,£4.00
Muller Rice Original Low Fat Pudding Dessert 170g,90p
"Batchelors Pasta 'n' Sauce, Macaroni Cheese 108g",£1.00
"Batchelors Pasta 'n' Sauce, Chicken & Mushroom 99g",£1.00
"Batchelors Pasta 'n' Sauce, Cheese, Leek & Ham 99g",£1.00
"Batchelors Pasta 'n' Sauce, Tomato, Onion & Herb 110g",£1.00
Heinz Despicable Me Minions Pasta Shapes in Tomato Sauce 205g,90p
Batchelors Pasta 'n' Sauce Smoky Cheese & Pancetta Flavour Pasta Sachet 99g,£1.00
Batchelors Pasta 'n' Sauce Cheese & Broccoli 65g,£1.00
"Batchelors Big Pasta 'n' Sauce, Macaroni & Cheese Instant Pasta Pot 85g",£1.20
"Batchelors Big Pasta 'n' Sauce, Chicken & Mushroom Flavour 85g",£1.20
Batchelors Pasta 'n' Sauce Spicy Tomato Pasta Pot 65g,£1.00
"Batchelors Big Pasta 'n' Sauce, Cheese & Broccoli Instant Pot 85g",£1.20
Heinz Baked Beans in a Rich Tomato Sauce 4 x 415g,£3.90
